t,index,i,j,sector,length
329,91152,267,105,8,354
330,57301,13,168,5,353
331,59693,18,175,5,352
332,90466,101,265,8,357
333,91821,92,269,8,360
334,89081,80,261,8,356
335,88741,260,81,8,356
336,90114,90,264,8,361
337,90811,105,266,8,354
338,92858,272,106,9,354
339,54901,161,0,5,352
340,90105,264,81,8,358
341,55245,3,162,5,352
342,57634,169,5,5,357
343,90461,96,265,8,360
344,55583,0,163,5,354
345,89096,261,95,8,358
346,56959,12,167,5,353
347,92512,101,271,9,357
348,88060,82,258,8,356
349,90470,265,105,8,354
350,95238,279,99,9,356
351,88752,260,92,8,358
352,88405,86,259,8,357
353,91148,101,267,8,357
354,91493,105,268,8,354
355,88756,96,260,8,358
356,90804,266,98,8,359
357,90446,265,81,8,358
358,92169,99,270,8,358
359,88740,80,260,8,356
360,88061,83,258,8,356
361,90471,265,106,8,354
362,92175,105,270,8,354
363,55242,162,0,5,353
364,89081,261,80,8,356
365,91135,267,88,8,360
366,56618,12,166,5,352
367,122232,162,358,11,352
368,89092,91,261,8,358
369,93199,273,106,9,354
370,88402,259,83,8,356
371,90470,105,265,8,354
372,91140,93,267,8,360
373,89082,81,261,8,356
374,90800,94,266,8,360
375,56960,167,13,5,352
376,89773,263,90,8,360
377,55244,2,162,5,352
378,88061,258,83,8,356
379,90471,106,265,8,354
380,89437,262,95,8,359
381,89783,263,100,8,357
382,88402,83,259,8,356
383,92516,271,105,9,354
384,90104,264,80,8,358
385,55934,10,164,5,352
386,89421,79,262,8,356
387,93540,274,106,9,354
388,90118,94,264,8,360
389,55591,163,8,5,352
390,93872,97,275,9,359
391,89432,90,262,8,360
392,91134,267,87,8,360
393,93199,106,273,9,354
394,89762,79,263,8,356
395,91822,93,269,8,360
396,89444,262,102,8,356
397,122233,163,358,11,353
398,55932,8,164,5,353
399,92165,270,95,8,360
400,91814,85,269,8,360
401,89775,92,263,8,359
402,91141,94,267,8,360
403,89440,262,98,8,358
404,90794,88,266,8,360
405,93881,275,106,9,354
406,88058,258,80,8,355
407,89421,262,79,8,356
408,87721,84,257,8,356
409,93198,273,105,9,354
410,57986,170,16,5,352
411,90130,106,264,8,354
412,89420,78,262,8,356
413,93190,97,273,9,359
414,88410,259,91,8,357
415,92516,105,271,9,354
416,92157,270,87,8,360
417,60035,19,176,5,351
418,61398,18,180,6,352
419,88399,259,80,8,355
420,56618,166,12,5,352
421,90799,266,93,8,360
422,91828,99,269,8,358
423,88059,81,258,8,355
424,92857,272,105,9,354
425,93881,106,275,9,354
426,89785,263,102,8,356
427,91139,92,267,8,360
428,88400,259,81,8,355
429,55934,164,10,5,352
430,92518,271,107,9,353
431,91131,267,84,8,360
432,88399,80,259,8,355
433,91487,99,268,8,358
434,55933,9,164,5,352
435,89430,262,88,8,359
436,93540,106,274,9,354
437,91130,267,83,8,359
